Time (s) Run #1	Angle (rad) Run #1	Angular Velocity (rad/s) Run #1	Angular Acceleration (rad/s²) Run #1	Position (m) Run #1	Velocity (m/s) Run #1	Acceleration (m/s²) Run #1	Absolute Pressure (kPa) Run #1	Temperature, Ch P2 (°C) Run #1	Temperature, Ch P3 (°C) Run #1
11,300	0,000	0,000	0,000	0,0000	0,000	0,000	99,580	4,02	
11,350	0,000	0,000	0,000	0,0000	0,000	0,000	99,575	4,02	
11,400	0,000	0,000	0,000	0,0000	0,000	0,000	99,595	4,02	
11,450	0,000	0,000	0,000	0,0000	0,000	0,000	99,582	4,01	
11,500	0,000	0,000	0,000	0,0000	0,000	0,000	99,604	4,01	62,0
11,550	0,000	0,000	0,000	0,0000	0,000	0,000	99,599	4,01	
11,600	0,000	0,000	0,000	0,0000	0,000	0,000	99,580	4,00	
11,650	0,000	0,000	0,000	0,0000	0,000	0,000	99,595	4,00	
11,700	0,000	0,000	0,000	0,0000	0,000	0,000	99,567	3,99	
11,750	0,000	0,000	0,000	0,0000	0,000	0,000	99,606	3,99	
11,800	0,000	0,000	0,000	0,0000	0,000	0,000	99,571	3,99	
11,850	0,000	0,000	0,000	0,0000	0,000	0,000	99,532	3,98	
11,900	0,000	0,000	0,000	0,0000	0,000	0,000	99,573	3,99	
11,950	0,000	0,000	0,000	0,0000	0,000	0,000	99,536	3,98	
12,000	0,000	0,000	0,000	0,0000	0,000	0,000	99,545	3,98	62,0
12,050	0,000	0,000	0,000	0,0000	0,000	0,000	99,540	3,98	
12,100	0,000	0,000	0,000	0,0000	0,000	0,000	99,532	3,98	
12,150	0,000	0,000	0,000	0,0000	0,000	0,000	99,575	3,98	
12,200	0,000	0,000	0,000	0,0000	0,000	0,000	99,578	3,97	
12,250	0,000	0,000	0,000	0,0000	0,000	0,000	99,573	3,97	
12,300	0,000	0,000	0,000	0,0000	0,000	0,000	99,538	3,97	
12,350	0,000	0,000	0,000	0,0000	0,000	0,000	99,580	3,98	
12,400	0,000	0,000	0,000	0,0000	0,000	0,000	99,575	3,97	
12,450	0,000	0,000	0,000	0,0000	0,000	0,000	99,545	3,97	
12,500	0,000	0,000	0,000	0,0000	0,000	0,000	99,525	3,97	62,0
12,550	0,000	0,000	0,000	0,0000	0,000	0,000	99,560	3,97	
12,600	0,000	0,000	0,000	0,0000	0,000	0,000	99,545	3,97	
12,650	0,000	0,000	0,000	0,0000	0,000	0,000	99,562	3,97	
12,700	0,000	0,000	0,000	0,0000	0,000	0,000	99,556	3,97	
12,750	0,000	0,000	0,000	0,0000	0,000	0,000	99,536	3,97	
12,800	0,000	0,000	0,000	0,0000	0,000	0,000	99,512	3,97	
12,850	0,000	0,000	0,000	0,0000	0,000	0,000	99,536	3,97	
12,900	0,000	0,000	0,000	0,0000	0,000	0,000	99,505	3,97	
12,950	0,000	0,000	0,000	0,0000	0,000	0,000	99,549	3,98	
13,000	0,000	0,000	0,000	0,0000	0,000	0,000	99,514	3,97	62,0
13,050	0,000	0,000	0,000	0,0000	0,000	0,000	99,549	3,97	
13,100	0,000	0,000	0,000	0,0000	0,000	0,000	99,490	3,97	
13,150	0,000	0,000	0,000	0,0000	0,000	0,000	99,484	3,98	
13,200	0,000	0,000	0,000	0,0000	0,000	0,000	99,495	3,98	
13,250	0,000	0,000	0,000	0,0000	0,000	0,000	99,516	3,97	
13,300	0,000	0,000	0,000	0,0000	0,000	0,000	99,503	3,98	
13,350	0,000	0,000	0,000	0,0000	0,000	0,000	99,486	3,98	
13,400	0,000	0,000	0,000	0,0000	0,000	0,000	99,492	3,98	
13,450	0,000	0,000	0,000	0,0000	0,000	0,000	99,521	3,98	
13,500	0,000	0,000	0,000	0,0000	0,000	0,000	99,538	3,99	62,0
13,550	0,000	0,000	0,000	0,0000	0,000	0,000	99,462	3,98	
13,600	0,000	0,000	0,000	0,0000	0,000	0,000	99,488	3,98	
13,650	0,000	0,000	0,000	0,0000	0,000	0,000	99,510	3,98	
13,700	0,000	0,000	-0,017	0,0000	0,000	-4,167E-4	99,481	3,98	
13,750	0,000	0,000	-0,052	0,0000	0,000	-0,001	99,497	3,98	
13,800	0,000	-0,005	-0,070	0,0000	-1,250E-4	-0,002	99,505	3,98	
13,850	0,000	-0,010	-0,035	0,0000	-2,500E-4	-8,333E-4	99,499	3,98	
13,900	-0,002	-0,010	0,035	-3,7500E-5	-2,500E-4	8,333E-4	99,473	3,99	
13,950	-0,002	-0,005	0,070	-3,7500E-5	-1,250E-4	0,002	99,468	3,99	
14,000	-0,002	0,000	0,052	-3,7500E-5	0,000	0,001	99,466	3,99	62,0
14,050	-0,002	0,000	0,017	-3,7500E-5	0,000	4,167E-4	99,499	3,99	
14,100	-0,002	0,000	-0,017	-3,7500E-5	0,000	-4,167E-4	99,497	3,98	
14,150	-0,002	0,000	-0,052	-3,7500E-5	0,000	-0,001	99,488	3,98	
14,200	-0,002	-0,005	-0,070	-3,7500E-5	-1,250E-4	-0,002	99,464	3,99	
14,250	-0,002	-0,010	-0,035	-3,7500E-5	-2,500E-4	-8,333E-4	99,492	3,98	
14,300	-0,003	-0,010	0,035	-7,5000E-5	-2,500E-4	8,333E-4	99,516	3,99	
14,350	-0,003	-0,005	0,070	-7,5000E-5	-1,250E-4	0,002	99,488	3,99	
14,400	-0,003	0,000	0,052	-7,5000E-5	0,000	0,001	99,453	3,98	
14,450	-0,003	0,000	0,017	-7,5000E-5	0,000	4,167E-4	99,438	3,99	
14,500	-0,003	0,000	0,000	-7,5000E-5	0,000	0,000	99,488	3,99	62,0
14,550	-0,003	0,000	0,000	-7,5000E-5	0,000	0,000	99,475	3,99	
14,600	-0,003	0,000	0,000	-7,5000E-5	0,000	0,000	99,486	3,99	
14,650	-0,003	0,000	0,000	-7,5000E-5	0,000	0,000	99,490	3,99	
14,700	-0,003	0,000	0,000	-7,5000E-5	0,000	0,000	99,477	3,99	
14,750	-0,003	0,000	-0,017	-7,5000E-5	0,000	-4,167E-4	99,492	4,00	
14,800	-0,003	0,000	-0,052	-7,5000E-5	0,000	-0,001	99,449	3,99	
14,850	-0,003	-0,005	-0,070	-7,5000E-5	-1,250E-4	-0,002	99,464	4,00	
14,900	-0,003	-0,010	-0,035	-7,5000E-5	-2,500E-4	-8,333E-4	99,503	3,99	
14,950	-0,005	-0,010	0,035	-1,1250E-4	-2,500E-4	8,333E-4	99,497	3,99	
